product,point,tick_size,margin_rate,type,commission,commission_intraday,slip,symbol,exchange,list_time,name,ts_code,vnpy_exchange,future_opiton,industrySub,bk,bk2,bk_lvp,bk_lvp2,update,trade,tradeF,minTradeLots,maxHoldLots,info,windows,main_month_type,spspd_month,main_month,segment
A,10,1,0.07,0,2,2,1.5,a,DCE,20020315,豆一,A.DCE,DCE,,Agricultural,NCP3,NCP,NCP,NCP1,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",4,"[1,3,5,7,9,11]","[1,5,9]",GW
AD,10,5,0.07,0,3,3,1.5,ad,SHFE,20250610,锻造铝,AD.SHF,SHFE,,NonFerrousMetals,YSJS,YSJS,YSJS,YSJS1,FALSE,FALSE,FALSE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",1,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,2,3,4,5,6,7,8,9,10,11,12]",
AG,15,1,0.16,1,1e-05,1e-05,1.5,ag,SHFE,,白银,AG.SHF,SHFE,1,PreciousMetals,GJS,GJS,GJS,GJS,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",2,"[1,2,3,4,5,6,7,8,9,10,11,12]","[2,4,6,8,10,12]",GJS
AL,5,5,0.09,0,3,3,1.5,al,SHFE,,铝,AL.SHF,SHFE,1,NonFerrousMetals,YSJS,YSJS,YSJS,YSJS1,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",1,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,2,3,4,5,6,7,8,9,10,11,12]",YS1
AO,20,1,0.11,1,0.0001,0.0001,1.5,ao,SHFE,20230619,氧化铝,AO.SHF,SHFE,1,NonFerrousMetals,YSJS,YSJS,YSJS,YSJS1,TRUE,TRUE,FALSE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",1,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,2,3,4,5,6,7,8,9,10,11,12]",YS1
AP,10,1,0.1,0,5,20,1.5,AP,CZCE,,苹果,AP.ZCE,CZCE,,AgriculturalSideline,NCP5,NCP,NCP,NCP5,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",5,"[1,3,4,5,7,10,11,12]","[1,5,10]",NF
AU,1000,0.02,0.16,0,20,20,1.5,au,SHFE,,黄金,AU.SHF,SHFE,,PreciousMetals,GJS,GJS,GJS,GJS,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",2,"[2,4,6,8,10,12]","[2,4,6,8,10,12]",GJS
B,10,1,0.07,0,1,1,1.5,b,DCE,,豆二,B.DCE,DCE,,Agricultural,NCP2,NCP,NCP,NCP1,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",4,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,5,9]",GW
BC,5,10,0.09,1,1e-05,1e-05,1.5,bc,INE,,国际铜,BC.INE,INE,,NonFerrousMetals,YSJS,YSJS,YSJS,YSJS1,FALSE,FALSE,FALSE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",1,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,2,3,4,5,6,7,8,9,10,11,12]",
BR,5,5,0.08,1,2e-05,2e-05,1.5,br,SHFE,20230728,丁二烯橡胶,BR.SHF,SHFE,1,Chemical,QG1,QG,NH,NH1,TRUE,TRUE,TRUE,1,,,"[[""9:00"",""10:15""], [""10:30"",""11:30""], [""13:30"",""15:00""], [""21:00"",""23:00""], [""00:00"",""9:00""]]",4,"[1,2,3,4,5,6,7,8,9,10,11,12]","[1,2,3,4,5,6,7,8,9,10,11,12]",XJ
